Nummer,,Typ,,,Max. Wdh,,,,,,NR,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,55001,55002,55003,55004,55005,55006,55007,55008,55009,55010,55011,55012,55013,55014,55015,55022,55023,55024,55035,55215,55036,55037,55038,55109,55110,55111,55230,55231,55112,55113,55115,55218,55219,55225,55226,55116,55117,55171,55119,55120,55121,55123,55124,55126,55127,55159,55160,55161,55173,55174,55175,55176,55185,55186,55187,55188,55189,55190,55133,55134,55135,55136,55137,55138,55232,55233,55234,55139,55140,55142,55220,55221,55222,55227,55228,55229,55143,55172,55145,55146,55147,55148,55149,55150,55151,55152,55153,55154,55155,55156,55157,55162,55163,55164,55165,55166,55167,55177,55178,55180,55181,55182,55191,55192,55193,55039,55040,55041,55042,55043,55044,55168,55169,55170,55051,55052,55053,55060,55194,55101,55102,55103,55104,55105,55106,55107,55108,55071,55072,55235,55235,55236,55236,55237,55238,55239,55240,55241,55242,55243,55553,55553,55553,55554,55554,55554,55555,55555,55556,55556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0590,510,RFF,C,D,9,1,3,Referenz auf Zeitraum.ID,RFF+Z46:2,Z46 Referenz auf Zeitraum ID,,S,NETZNUTZUNGSVERTRAG,"gueltigkeitszeitraum.zeitraumId
gueltigkeitszeitraum.startdatum (Aus DTM+Z25 der jeweiligen zeitraumId)
gueltigkeitszeitraum.enddatum (Aus DTM+Z26 der jeweiligen zeitraumId)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0590,511,RFF,C,D,9,1,3,Referenz auf die ID der Marktlokation,RFF+Z18:XXXXXXXXXX,Marktlokation,,S,vertrag.netznutzungsvertrag,"lokationsId
lokationsTyp (ENUM)",,maloDesignation,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0570,,SG12,C,D,99,99,2,Anschlussnehmer,,,,,,,,,,,,,,,,,,,,,,Kann,,,,,,,,,,,,,,,,Kann,Kann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kann,Kann,Kann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0580,512,NAD,M,M,1,1,2,Anschlussnehmer,"NAD+EO+++Huber:Karlheinz:::Dr.:Z01+Teststraße::815b:X+Entenhausen++10010+DE
NAD+EO+++Firma:Meyer::::Z02+Teststraße::815b:X+Entenhausen++10010+DE","EO Anschlussnehmer
Z55 Erwarteter Anschlussnehmer
Z56 Im System vorhandener Anschlussnehmer
Z69 Informative Daten des Anschlussnehmers
+
Z01 Struktur von Personennamen
Z02 Struktur der Firmenbezeichnung",,S,"marktlokation.eigentuemer













MARKTLOKATION","geschaeftspartnerrolle = ""EIGENTUEMER""
anrede
name1
name2
name3
name4
partneradresse.gewerbekennzeichnung
partneradresse.postleitzahl
partneradresse.ort
partneradresse.strasse
partneradresse.hausnummer
partneradresse.landescode
partneradresse.ortsteil

datenqualitaet","EO -> GUELTIGE_DATEN
Z55 -> ERWARTETE_DATEN
Z56 -> IM_SYSTEM_VORHANDENE_DATEN
Z69 -> INFORMATIVE_DATEN","businessPartnerData.businessPartnerDetails.forename
businessPartnerData.businessPartnerDetails.surname
businessPartnerData.businessPartnerDetails.companyName
businessPartnerData.businessPartnerAddressDetails.postalCode
businessPartnerData.businessPartnerAddressDetails.cityName
businessPartnerData.businessPartnerAddressDetails.streetName
businessPartnerData.businessPartnerAddressDetails.houseNumber
businessPartnerData.businessPartnerAddressDetails.countryCode
businessPartnerData.businessPartnerAddressDetails.poBox",PARTNER_DATA,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0590,513,RFF,C,D,9,1,3,Referenz auf Zeitraum.ID,RFF+Z46:2,Z46 Referenz auf Zeitraum ID,,S,MARKTLOKATION,"gueltigkeitszeitraum.zeitraumId
gueltigkeitszeitraum.startdatum (Aus DTM+Z25 der jeweiligen zeitraumId)
gueltigkeitszeitraum.enddatum (Aus DTM+Z26 der jeweiligen zeitraumId)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0570,,SG12,C,D,99,99,2,Hausverwalter,,,,,,,,,,,,,,,,,,,,,,Kann,,,,,,,,,,,,,,,,Kann,Kann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kann,Kann,Kann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0580,514,NAD,M,M,1,1,2,Hausverwalter,"NAD+DDO+++Huber:Karlheinz:::Dr.:Z01+Teststraße::815b:X+Entenhausen++10010+DE
NAD+DDO+++Firma:Meyer::::Z02+Teststraße::815b:X+Entenhausen++10010+DE","DDO Hausverwalter
Z57 Erwarteter Hausverwalter
Z58 Im System vorhandener Hausverwalter
Z70 Informative Daten des Hausverwalters
+
Z01 Struktur von Personennamen
Z02 Struktur der Firmenbezeichnung",,S,"marktlokation.hausverwalter












MARKTLOKATION","geschaeftspartnerrolle = ""HAUSVERWALTER""
anrede
name1
name2
name3
name4
gewerbekennzeichnung
postleitzahl
ort
strasse
hausnummer
landescode
ortsteil


datenqualitaet
","DDO -> GUELTIGE_DATEN
Z57 -> ERWARTETE_DATEN
Z58 -> IM_SYSTEM_VORHANDENE_DATEN
Z70 -> INFORMATIVE_DATEN","businessPartnerData.businessPartnerDetails.forename
businessPartnerData.businessPartnerDetails.surname
businessPartnerData.businessPartnerDetails.companyName
businessPartnerData.businessPartnerAddressDetails.postalCode
businessPartnerData.businessPartnerAddressDetails.cityName
businessPartnerData.businessPartnerAddressDetails.streetName
businessPartnerData.businessPartnerAddressDetails.houseNumber
businessPartnerData.businessPartnerAddressDetails.countryCode
businessPartnerData.businessPartnerAddressDetails.poBox",PARTNER_DATA,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0590,515,RFF,C,D,9,1,3,Referenz auf Zeitraum.ID,RFF+Z46:2,Z46 Referenz auf Zeitraum ID,,S,MARKTLOKATION,"gueltigkeitszeitraum.zeitraumId
gueltigkeitszeitraum.startdatum (Aus DTM+Z25 der jeweiligen zeitraumId)
gueltigkeitszeitraum.enddatum (Aus DTM+Z26 der jeweiligen zeitraumId)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0570,,SG12,C,D,99,99,2,Beteiligter Marktpartner MP-ID,,,,,,,,,PROZESSLOGIK,,,Muss,,,,,,,Muss,,,,,,,,,,,Muss,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,Muss,Muss,Muss,,Muss,Muss,,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0580,516,NAD,M,M,1,1,2,Beteiligter Marktpartner MP-ID,NAD+VY+XXXXXXXXXXXXX::293,andere zugehörige Partei,,"S





(wenn passendes BO nicht vorhanden)
T","marktlokation.beteiligterMarktpartner
tranche.beteiligterMarktpartner
messlokation.beteiligterMarktpartner



beteiligterMarktpartner","rollencodenummer
rollencodetyp","9 = GLN
293 = BDEW",,PROZESSLOGIK,,,X,,,,,,,X,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0590,517,RFF,C,D,9,9,3,Referenz auf die ID einer Marktlokation / Tranche / Messlokation,"RFF+Z18:XXXXXXXXXX
RFF+Z20:XXXXXXXXXX","Marktlokation
Tranche",,S,"marktlokation
tranche
messlokation","marktlokationsId
tranchenId
messlokationsId
",,,PROZESSLOGIK,,,Z18,,,,,,,"X
",,,,,,,,,,,"X
",,"X
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0570,,SG12,C,D,99,99,2,Marktlokationsanschrift,,,,,,,,,,Soll,Muss,,,,,,,,,,,Muss,Muss,,,,,Muss,,,,,,,,,,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kann,,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0580,518,NAD,M,M,1,1,2,Marktlokationsanschrift,NAD+DP++Die Marktlokation befindet sich i:m Hinterhaus im u:nteren K:eller recht:s++Eichelbergstr.::36:Musterortsteil+Musterstadt++55555+DE,"DP Lieferanschrift
Z59 Erwartete Marktlokationsanschrift
Z60 Im System vorhandene Marktlokationsanschrift
Z63 Informative Marktlokationsanschrift
+
Z01 Struktur von Personennamen
Z02 Struktur der Firmenbezeichnung",,S,"marktlokation.lokationsadresse














MARKTLOKATION","postleitzahl
ort
strasse
hausnummer
postfach
adresszusatz
landescode (ENUM)
ortsteil
zusatzInformation.zusatz1
zusatzInformation.zusatz2
zusatzInformation.zusatz3
zusatzInformation.zusatz4
zusatzInformation.zusatz5


datenqualitaet","DP -> GUELTIGE_DATEN
Z59 -> ERWARTETE_DATEN
Z60 -> IM_SYSTEM_VORHANDENE_DATEN
Z63 -> INFORMATIVE_DATEN","maloAddressData.streetName
maloAddressData.houseNumber
maloAddressData.houseNumberSupplement
maloAddressData.cityName
maloAddressData.postalCode
maloAddressData.countryCode
maloAddressData.locationSupplement",MALO_DATA,X,X,,,,,,,,,,,X,X,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0590,519,RFF,C,D,9,1,3,Referenz auf Zeitraum.ID,RFF+Z46:2,Z46 Referenz auf Zeitraum ID,,S,MARKTLOKATION,"gueltigkeitszeitraum.zeitraumId
gueltigkeitszeitraum.startdatum (Aus DTM+Z25 der jeweiligen zeitraumId)
gueltigkeitszeitraum.enddatum (Aus DTM+Z26 der jeweiligen zeitraumId)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0570,,SG12,C,D,99,99,2,Messlokationsadresse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soll,Soll S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kann S,Soll S,,Soll S,Kann ,Soll,,,,,,,,,Soll,Muss,,Soll,Muss,,Soll,Muss,,,,,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0580,520,NAD,M,M,1,1,2,Messlokationsadresse,NAD+Z03++Hinter:hof gan:z am En:de lin:ks++Ferritplatz:X:27a:X+Eisenstadt++54321+DE,"Z03 Messlokationsadresse
Z43 Erwartete Messlokationsadresse
Z44 Im System vorhandene Messlokationsadresse
Z64 Informative Messlokationsadresse
+
Z01 Struktur von Personennamen
Z02 Struktur der Firmenbezeichnung",,S,"messlokation.messadresse













MESSLOKATION","postleitzahl
ort
strasse
hausnummer
postfach
landescode (ENUM)
ortsteil
zusatzInformation.zusatz1
zusatzInformation.zusatz2
zusatzInformation.zusatz3
zusatzInformation.zusatz4
zusatzInformation.zusatz5


datenqualitaet","Z03 -> GUELTIGE_DATEN
Z43 -> ERWARTETE_DATEN
Z44 -> IM_SYSTEM_VORHANDENE_DATEN
Z64 -> INFORMATIVE_DATEN",,MELO_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,X,X,,,,,,,,,X,X,,X,X,,X,X,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0590,521,RFF,C,D,9,1,3,Referenz auf Zeitraum.ID,RFF+Z46:2,Z46 Referenz auf Zeitraum ID,,S,MESSLOKATION,"gueltigkeitszeitraum.zeitraumId
gueltigkeitszeitraum.startdatum (Aus DTM+Z25 der jeweiligen zeitraumId)
gueltigkeitszeitraum.enddatum (Aus DTM+Z26 der jeweiligen zeitraumId)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0590,522,RFF,C,D,9,1,3,Referenz auf die ID einer Messlokation,RFF+Z19:DE0000000000000000000000000000000,Messlokation,,S,messlokation,messlokationsId,,meloDesignation,MELO_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,X,X,,,,,,,,,,X,,,X,,X,X,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0570,,SG12,C,D,99,99,2,Name und Adresse für die Ablesekarte,,,,,,,,,,Muss,Muss,,,,,,,,,,,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soll,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kann,Muss,,Soll,Kann,Muss,,,,,,,,,,,,Muss,Muss,,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0580,523,NAD,M,M,1,1,2,Name und Adresse für die Ablesekarte,"NAD+Z05+++Max:Mustermann::::Z01+Industriestr.::81:Musterorsteil+Ettlingen++76275+DE
NAD+Z05+++Gbr. Haak Flanschen KG::z.Hd. Hausmeister:::Z02+Industriestr.::81:Musterorsteil+Ettlingen++76275+DE","Z05 Name und Adresse für die Ablesekarte
Z45 Erwarteter Name und Adresse für die Ablesekarte
Z46 Im System vorhandener Name und Adresse für die Ablesekarte
+
Z01 Struktur von Personennamen
Z02 Struktur der Firmenbezeichnung",,S,"messlokation.ablesekartenempfaenger


















MESSLOKATION","geschaeftspartnerrolle = ""ABLESEKARTENEMPFAENGER""
anrede
name1
name2
name3
name4
gewerbekennzeichnung
partneradresse.
.postleitzahl
.ort
.strasse
.hausnummer
.adresszusatz
.landescode
.ortsteil



datenqualitaet","Z05 -> GUELTIGE_DATEN
Z45 -> ERWARTETE_DATEN
Z46 -> IM_SYSTEM_VORHANDENE_DATEN","maloAddressData.streetName
maloAddressData.houseNumber
maloAddressData.houseNumberSupplement
maloAddressData.cityName
maloAddressData.postalCode
maloAddressData.countryCode
maloAddressData.locationSupplement",PARTNER_DATA,X,X,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,X,X,,,,,,,,,,,,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0590,524,RFF,C,D,9,1,3,Referenz auf Zeitraum.ID,RFF+Z46:2,Z46 Referenz auf Zeitraum ID,,S,MESSLOKATION,"gueltigkeitszeitraum.zeitraumId
gueltigkeitszeitraum.startdatum (Aus DTM+Z25 der jeweiligen zeitraumId)
gueltigkeitszeitraum.enddatum (Aus DTM+Z26 der jeweiligen zeitraumId)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0590,525,RFF,C,D,9,9,3,Referenz auf die ID einer Messlokation,RFF+Z19:DE0000000000000000000000000000000,Messlokation,,S,messlokation,messlokationsId,,meloDesignation,PARTNER_DATA,Kann,X,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,X,X,,,,,,,,,,,,X,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0670,526,UNT,M,M,1,1,0,Nachrichten-Endesegment,UNT+21+172147',Nachrichtendatum/ -zeit,,T,,nachrichtenreferenznummer,,,,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UNZ,,,,,,,UNZ+1+689022',,,T,,datenaustauschreferenz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
