jsonStructure,Group1,Group2,Parameter,type,pattern,pattern,Beispiel,Beschreibung,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E
body,dataMarketLocation,dataMarketLocationTransmissionSystemOperators,executionTimeUntil,string,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,2023-08-01T22:00:00Z,"Endezeitpunkt, Zeitpunkt bis zu dem die zugeordneten Marktpartner oder Lokationen zugeordnet werden. Dieser Zeitpunkt muss ein Tagesbeginn 00:00 Uhr gesetzlicher deutscher Zeit sein.",S,"MARKTLOKATION[].marktrollen[marktrolle=""UENB""]",zuordnungBis,
body,dataMarketLocation,dataMarketLocationSuppliers,,Schema,,,,Schemarahmen für dataMarketLocationSuppliers,S,,,
body,dataMarketLocation,dataMarketLocationSuppliers,marketPartnerId,integer,\d{13},\d{13},9900987654321,Identifiziert den Marktpartner (Marktpartner-ID),S,"MARKTLOKATION[].marktrollen[marktrolle=""LF""]",rollencodenummer,
body,dataMarketLocation,dataMarketLocationSuppliers,executionTimeFrom,string,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,2023-08-01T22:00:00Z,"Beginnzeitpunkt, Zeitpunkt zu dem die zugeordneten Marktpartner oder Lokationen zugeordnet werden. Dieser Zeitpunkt muss ein Tagesbeginn 00:00 Uhr gesetzlicher deutscher Zeit sein.",S,"MARKTLOKATION[].marktrollen[marktrolle=""LF""]",zuordnungVon,
body,dataMarketLocation,dataMarketLocationSuppliers,executionTimeUntil,string,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,20(\d{2}(\-(0[13578]|1[02])\-(0[1-9]|[12]\d|3[01])|\-02\-(0[1-9]|1\d|2[0-8])|\-(0[469]|11)\-(0[1-9]|[12]\d|30))|([02468][048]|[13579][26])\-02\-(29))T([01]\d|2[0-3]):[0-5]\d:[0-5]\dZ,2023-08-01T22:00:00Z,"Endezeitpunkt, Zeitpunkt bis zu dem die zugeordneten Marktpartner oder Lokationen zugeordnet werden. Dieser Zeitpunkt muss ein Tagesbeginn 00:00 Uhr gesetzlicher deutscher Zeit sein.",S,"MARKTLOKATION[].marktrollen[marktrolle=""LF""]",zuordnungBis,
body,dataMarketLocation,dataMarketLocationName,,Schema,,,,Schemarahmen für dataMarketLocationName,S,,,
body,dataMarketLocation,dataMarketLocationName,surnames,string,,,Becker,Angabe des Namen des Kunden,S,"ENERGIELIEFERVERTRAG[].vertragspartner2[geschaeftspartnerrolle[]=[""KUNDE""],gewerbekennzeichnung=false]",name1,
body,dataMarketLocation,dataMarketLocationName,firstnames,string,,,Michael,Angabe des Vornamen des Kunden,S,"ENERGIELIEFERVERTRAG[].vertragspartner2[geschaeftspartnerrolle[]=[""KUNDE""],gewerbekennzeichnung=false]",name2,
body,dataMarketLocation,dataMarketLocationName,title,string,,,Prof. Dr.,Angabe des Titels der natürlichen Person,S,"ENERGIELIEFERVERTRAG[].vertragspartner2[geschaeftspartnerrolle[]=[""KUNDE""],gewerbekennzeichnung=false]",anrede,
body,dataMarketLocation,dataMarketLocationName,company,string,,,BDEW & Co. KG,Angabe des Firmennamen,S,"ENERGIELIEFERVERTRAG[].vertragspartner2[geschaeftspartnerrolle[]=[""KUNDE""],gewerbekennzeichnung=true]",name1,
