0290,26,LIN,M,M,1,1,3,lfd. Position,LIN+1,laufende Position,S,energiemenge.energieverbrauch,position,,,PROZESSLOGIK,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,
0300,27,PIA,C,R,9,1,4,Produktidentifikation,"PIA+5+1-1?:1.8.1:SRW
PIA+5+2-7?:1.8.1:Z02
PIA+5+AUA:Z08","OBIS-Kennzahl
BDEW OBIS-ähnliche Kennzahl
Medium",S,energiemenge.energieverbrauch,obiskennzahl,,,METERING_DATA,X,"X

","X
X
","X

","X

","X

",SRW,SRW,SRW,SRW,"SRW
Z02",SRW,SRW,Z08,SRW,Z08,Z08,Z08,"

X",SWR,Z02,Z02,
0350,,SG10,M,M,9999,9999,4,Mengen- und Statusangaben,,,,,,,,,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,Muss,
0360,28,QTY,M,M,1,1,4,Mengenangaben,"QTY+220:4250.465:KWH
QTY+67:4250.465:KWH
QTY+201:4250.465:KWH
QTY+20:4250.465:KWH
QTY+187:4250.465:KWH
QTY+79:4250.465:KWH
QTY+Z18:4250.465:KWH
QTY+Z30
QTY+Z31:4250.465:KWH
QTY+Z47:4250.465:KWH","Wahrer Wert
Ersatzwert
Vorschlagswert
Nicht verwendbarer Wert
Prognosewert
Energiemenge summiert
Vorläufiger Wert
Fehlender Wert
Angabe für Lieferschein
Grundlage POG-Ermittlung",S,energiemenge.energieverbrauch,"messwertstatus -> ENUM
wert
einheit
wertermittlungsverfahren","220 -> ABGELESEN
67 -> ERSATZWERT
201 -> VORSCHLAGSWERT
20 -> NICHT_VERWENDBAR
187 -> PROGNOSEWERT
79 -> ENERGIEMENGESUMMIERT
Z18 -> VOLAEUFIGERWERT
Z30 -> FEHLT
Z31 -> ANGABE_FUER_LIEFERSCHEIN
Z47 -> GRUNDLAGE_POG_ERMITTLUNG",,METERING_DATA,"QTY+220
QTY+67
QTY+Z18","QTY+220
QTY+67
QTY+Z31","QTY+220
QTY+67
QTY+Z18
QTY+Z31","QTY+220
QTY+67","QTY+220
QTY+67
QTY+201
QTY+20
QTY+Z18","QTY+220
QTY+67
QTY+201
QTY+20
QTY+187","QTY+220
QTY+67
QTY+Z18","QTY+220
QTY+67
QTY+Z18","QTY+220
QTY+67
QTY+201
QTY+20
QTY+187
QTY+Z18",QTY+187,QTY+187,QTY+187,"QTY+220
QTY+67
QTY+79
QTY+Z18
QTY+Z30",QTY+79,QTY+79,QTY+79,QTY+79,QTY+220,QTY+220,"QTY+220
QTY+67
QTY+201
QTY+20",QTY+79,QTY+79,
0370,29,DTM,C,D,9,1,5,Beginn Messperiode,DTM+163:CCYYMMDDHHMMZZZ:303,Beginn Messperiode,S,energiemenge.energieverbrauch,startdatum,UTC,,METERING_DATA,,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,,X,
0370,30,DTM,C,D,9,1,5,Ende Messperiode ,DTM+164:CCYYMMDDHHMMZZZ:303,Ende Messperiode,S,energiemenge.energieverbrauch,enddatum,UTC,,METERING_DATA,,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,X,X,,X,
0370,31,DTM,C,D,9,1,5,Ablesedatum,"DTM+9:20210201:102
DTM+9:202107011655?+00:303",tats. Ablesedatum,S,energiemenge.energieverbrauch,ablesedatum,,,METERING_DATA,S,,,,S,,,,,,,,,,,,,,,,,,
0370,32,DTM,C,D,9,1,5,Nutzungszeitpunkt,DTM+7:202106012200?+00:303,Nutzungszeitpunkt,S,energiemenge.energieverbrauch,nutzungszeitpunkt,UTC -> 303,,METERING_DATA,X,,,,X,,,,,,,,,,,,,,,,,,
0370,33,DTM,C,D,9,1,5,Ausführungs-/ Änderungszeitpunkt,DTM+60:202106011730?+00:303,Konstruktionsänderungsdatum,S,energiemenge.energieverbrauch,ausfuehrungszeitpunkt,UTC -> 303,,METERING_DATA,S,,,,S,,,,,,,,,,,,,,,,,,
0370,34,DTM,C,D,9,1,5,Leistungsperiode,"DTM+306:CCYYMMDD:102
DTM+306:CCYYMM:610'",Leistungsperiode,S,energiemenge.energieverbrauch,leistungsperiode,,,,,,,,,,,,,,,,,,,,,,,,,,
0380,35,STS,C,D,9,4,5,Plausibilisierungshinweis,"STS+Z33++Z83
STS+Z33++Z84
STS+Z33++Z85
STS+Z33++Z86
STS+Z33++Z87
STS+Z33++ZC3
STS+Z33++ZR5
STS+Z33++ZS2","Kundenselbstablesung
Leerstand
Realer Zählerüberlauf geprüft
Plausibel wg. Kontrollablesung
Plausibel wg. Kundenhinweis
Austausch des Ersatzwertes
Rechnenwert (Gas)
Werst auf Basis der modernen Messeinrichtung",S,energiemenge.energieverbrauch.statuszusatzinformationen,"art = ""PLAUSIBILISIERUNGSHINWEIS"" = Z33
status -> ENUM","Z83 = KUNDENSELBSTABLESUNG
Z84 = LEERSTAND
Z85 = REALER_ZAEHLERUEBERLAUF_GEPRUEFT
Z86 = PLAUSIBEL_WG_KONTROLLABLESUNG
Z87 = PLAUSIBEL_WG_KUNDENHINWEIS
ZC3 = AUSTAUSCH_DES_ERSATZWERTES
ZR5 = RECHENWERT
ZS2 = BASIS_MME",,METERING_DATA,S,S,S,,"Z83
Z84
Z85
Z86
Z87
ZC3
ZR5","Z83
Z84
Z85
Z86
Z87
ZC3
ZR5","Z83
Z84
Z85
Z86
Z87
ZC3","Z83
Z84
Z85
Z86
Z87
ZC3","Z83
Z84
Z85
Z86
Z87
ZC3
ZR5",,,,,,,,,,,,,,
0380,36,STS,C,D,9,1,5,Ersatzwertbildungsverfahren,"STS+Z32++Z88
STS+Z32++Z89
STS+Z32++Z90
STS+Z32++Z91
STS+Z32++Z92
STS+Z32++Z93
STS+Z32++Z94
STS+Z32++Z95
STS+Z32++ZJ2
STS+Z32++ZQ8
STS+Z32++ZQ9
STS+Z32++ZR0
STS+Z32++ZS0","Vergleichsmessung (geeicht)
Vergleichsmessung (nicht geeicht)
Messwertnachbildung aus geeichten Werten
Messwertnachbildung aus nicht geeichten Werten
Interpolation
Haltewert
Bilanzierung Netzabschnitt
Historische Messwerte
Statistische Methode
Aufteilung
Verwendung von Werten des Störmengenzählwerks
Umgangs- und Korrekturmengen
Ersatzwertbildungsverfahren gemäß Angaben auf Ebene der Messloklation",S,energiemenge.energieverbrauch.statuszusatzinformationen,"art = ""ERSATZWERTBILDUNGSVERFAHREN"" = Z32
status -> ENUM","Z88 = VERGLEICHSMESSUNG_GEEICHT
Z89 = VERGLEICHSMESSUNG_NICHT_GEEICHT
Z90 = MESSWERTNACHBILDUNG_AUS_GEEICHTEN_WERTEN
Z91 = MESSWERTNACHBILDUNG_AUS_NICHT_GEEICHTEN_WERTEN
Z92 = INTERPOLATION
Z93 = HALTEWERT
Z94 = BILANZIERUNG_NETZABSCHNITT
Z95 = HISTORISCHE_MESSWERTE
ZJ2 = STATISTISCHE_METHODE
ZQ8 = AUFTEILUNG
ZQ9 = VERWENDUNG_VON_WERTEN_DES_STOERMENGENZAEHLWERKS
ZR0 = UMGANGS_UND_KORREKTURMENGEN
ZS0 = ANGABEN_MESSLOKATION",,METERING_DATA,X,"Z88
Z89
Z92
ZJ2
ZS0","Z88
Z89
Z92
ZJ2
ZS0","Z88
Z89
Z92
ZJ2
","Z89
Z90
Z91
Z92
Z93
Z94
Z95
ZQ8
ZQ9
ZR0","Z89
Z90
Z91
Z92
Z93
Z94
Z95
ZQ8
ZQ9
ZR0
ZS0","Z88
Z89
Z92
ZJ2","Z88
Z89
Z92
ZJ2
ZS0","Z89
Z90
Z91
Z92
Z93
Z94
Z95
ZQ8
ZQ9
ZR0
ZS0",,,,,,,,,,,"Z91
Z92
Z93
Z94
Z95
ZQ8
ZQ9
ZR0",,,
