Nummer,,Typ,,,Max. Wdh,,,,,,NR,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,44001,44002,44003,44004,44005,44006,44007,44008,44009,44010,44011,44012,44013,44014,44015,44019,44020,44021,44022,44023,44024,44035,44215,44036,44037,44038,44109,44112,44113,44115,44116,44117,44119,44120,44121,44123,44124,44159,44160,44161,44175,44176,44137,44138,44139,44140,44142,44143,44172,44145,44146,44147,44148,44149,44150,44151,44152,44156,44157,44162,44163,44164,44165,44166,44167,44180,44181,44182,44039,44040,44041,44042,44043,44044,44168,44169,44170,44051,44052,44053,44060,44101,44102,44103,44104,44105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0420,71,SEQ,M,M,1,1,2,Konzessionsabgabedaten,SEQ+Z07,Konzessionsabgabedaten,,,,,,,PROZESSLOGIK,X,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0430,72,RFF,C,D,9,1,3,Referenz auf die OBIS-Kennzahl der Marktlokation,RFF+Z10:1-1?:1.9.1,OBIS-Kennzahl,,S,marktlokation.zaehlwerke,obisKennzahl,,obisData.obisCode,MALO_METERING,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Konzessionsabgabe,,,,,,,,,,Muss,Muss,,,,,,,,,,,Muss,Muss,,,,,,,,Muss,,,,,,Muss,,,,,,,,,,,,,,,,,Muss,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,73,CCI,M,M,1,1,3,Zuordnung Konzessionsabgabe,CCI+++Z08,Konzessionsabgabe,,,,,,,PROZESSLOGIK,X,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,74,CAV,C,R,99,1,4,Konzessionsabgabe,"CAV+XXX:::0.00XX:Staffel 1 bis 10.000
CAV+KAS
CAV+SA
CAV+SAS
CAV+TA
CAV+TAS
CAV+TK
CAV+TKS"," bei dem Eintrag optional wenn nicht Höchstbetrag nach KAV
für alle konzessionsvertraglichen Sonderregelungen, die nicht in die Systematik der KAV eingegliedert sind
Sondervertragskunden < 1 kV nach § 2 (7) und > 1 kV, Preis nach § 2 (3) (für Strom 0,11 ct/kWh und für Gas 0,03 ct/kWh)
Kennzeichnung, dass ein abweichender Preis für Sondervertragskunden vorliegt
Tarifkunden, für Strom § 2. (2) 1b HT bzw. ET (hohe KA) und für Gas § 2 (2) 2b
Kennzeichnung, dass ein abweichender Preis für Tarifkunden vorliegt
für Gas nach KAV § 2 (2) 2a bei ausschließlicher Nutzung zum Kochen und Warmwassererzeugung
Kennzeichnung, wenn nach KAV § 2 (2) 2a ein anderer Preis zu verwenden ist",,S,marktlokation.zaehlwerke(OBIS Zuordnung beachten).konzessionsabgabe,"satz (ENUM)
kosten 
kategorie",,"billingInformation.concessionFee
billingInformation.concessionAmount
billingInformation.concessionStage",MALO_METERING,"KAS
SA
SAS
TAS
TK
TKS",X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0410,,SG8,C,D,99999,1,2,Gemeinderabatt,,,,,,,,,,Muss,Muss,,,,,,,,,,,Muss,Muss,,,,,,,,Muss,,,,,,Soll ,,,,,,,,,,,,,,,,,Kann,,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0420,75,SEQ,M,M,1,1,2,Gemeinderabatt,SEQ+Z12,Gemeinderabatt,,,,,,,PROZESSLOGIK,X,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0450,,SG9,C,M,99,1,3,Gemeinderabatt,,,,,,,,,,Muss,Muss,,,,,,,,,,,Muss,Muss,,,,,,,,Muss,,,,,,Muss,,,,,,,,,,,,,,,,,Muss,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0460,76,QTY,M,M,1,1,3,Gemeinderabatt,QTY+Z16:0:P1,Gemeinderabatt in Prozent,,S,vertrag.netznutzungsvertrag,gemeinderabatt,,billingInformation.municipalDiscount,MALO_METERING,X,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,X,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0410,,SG8,C,D,99999,99999,2,Daten der Messlokation,,,,,,,,,,,Muss,,,,,,,,,,,Muss,Muss,,,,,,,,Muss,,,,,,Muss,Muss,,Muss S,Muss S,,,,,,,,,Muss,,,,Kann,Kann,Soll,Muss S,Muss S,Muss S,,Muss S,Muss S,Muss S,,,,,,,,,,,,Muss,Muss,,,,,,Muss,,Muss,Muss,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0420,77,SEQ,M,M,1,1,2,Daten der Messlokation,SEQ+Z18,Daten der Messlokation,,,,,,,PROZESSLOGIK,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,X,X,,X,X,,,,,,,,,X,,,,X,X,X,X,X,X,,X,X,X,,,,,,,,,,,,X,X,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0430,78,RFF,C,D,9,1,3,Referenz auf die ID der Messlokation,RFF+Z19:DE0000000000000000000000000000000,Messlokation,,S,messlokation,messlokationsId,,,PROZESSLOGIK,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,X,X,,X,X,,,,,,,,,X,,,,X,X,X,X,X,X,,X,X,X,,,,,,,,,,,,X,X,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Zugeordnete Marktpartner,,,,,,,,,,,Muss,,,,,,,,,,,Muss,Muss,,,,,,,,Muss,,,,,,Soll,Soll,,,,,,,,,,,,,,,,Kann,Kann,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,,Muss,Muss,,,,,Muss S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,79,CCI,M,M,1,1,3,Zugeordnete Marktpartner,CCI+++ZB3,,,,,,,,PROZESSLOGIK,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,X,X,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,80,CAV,C,R,99,1,4,Messstellenbetreiber,"CAV+Z91:XXXXXXXXXXXXX::Z19
CAV+Z91:XXXXXXXXXXXXX::Z20","MSB / Auf vertraglicher Grundlage gegenüber Anschlussnutzer / Anschlussnehmer
MSB / In der Ausübung der Weiterverpflichtung durch den gMSB",,S,messlokation.marktrollen,"marktrolle = ""MSB""
rollencodenummer
weiterverpflichtung","weiterverpflichtung = true -> Z20
weiterverpflichtung = false -> Z19","serviceData.id
serviceData.type = MSO",SERVICE_DATA,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,X,X,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,81,CAV,C,R,99,1,4,Grundzuständiger Messstellenbetreiber,CAV+ZF0:XXXXXXXXXXXXX,gMSB,,S,messlokation.marktrollen,"marktrolle = ""GMSB""
rollencodenummer",,?,SERVICE_DATA,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,X,X,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,82,CAV,C,D,99,1,4,Messstellenbetreiber alt,CAV+ZB4:XXXXXXXXXXXXX,MSB alt,,S,messlokation.marktrollen,"marktrolle = ""MSBA""
rollencodenummer
",,"serviceData.id
serviceData.type = MSO
serviceData.timeSlice.validFrom
serviceData.timeSlice.validUntil",SERVICE_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Gasqualität,,,,,,,,,,,Muss,,,,,,,,,,,Muss,Muss,,,,,,,,Muss,,,,,,Muss,Muss,,,,,,,,,,,,,,,,Kann,Kann,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,,Muss,Muss,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,83,CCI,M,M,1,1,3,Gasqualität,CCI+++Y02,Gasqualität,,,,,,,PROZESSLOGIK,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,X,X,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,84,CAV,C,R,99,1,4,Gasqualität,"CAV+Y04
CAV+Y05","H-Gas
L-Gas",,S,messlokation,gasqualitaet,"Y04 = ""H_GAS""
Y05 = ""L_GAS""",grid.gasQuality - H_GAS; L_GAS,MELO_DATA,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,X,X,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Betriebszustand der Messlokation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,,Muss,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,85,CCI,M,M,1,1,3,Betriebszustand der Messlokation,"CCI+Z32++ZC1
CCI+Z32++ZC2
CCI+Z32++ZC3","Messlokation gesperrt und darf nicht entsperrt werden
Messlokation gesperrt und darf entsperrt werden
Messlokation im Regelbetrieb",,S,messlokation,betriebszustand,"ZC1 = ""GESPERRT_NICHT_ENTSPERREN""
ZC2 = ""GESPERRT""
ZC3 = ""REGELBETRIEB""",operationCondition,MELO_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0410,,SG8,C,D,99999,99999,2,Erforderliches Messprodukt der Messlokation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,,Muss,Muss,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0420,86,SEQ,M,M,1,1,2,Erforderliches Messprodukt der Messlokation,SEQ+Z19,Erforderliches Messprodukt der Messlokation,,,,,,,PROZESSLOGIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0440,87,PIA,C,R,9,1,3,Erforderliches Messprodukt der Messlokation,PIA+5+XXXXXXXXXXXXXX:Z11,Messprodukt der Messlokation,,S,messlokation.zaehlwerke,messprodukt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0410,,SG8,C,D,99999,99999,2,Zähleinrichtungsdaten,,,,,,,,,,Kann,Muss,,,,,,,,,,,Muss,Muss,,,,,,,,Muss,,,,,,,,,Muss,Muss,,,,,,,,,,,,,,,,Kann,Kann,Muss,,Soll,Kann,Muss,,,,,,,,,,,,,,,Muss,Muss,,Muss,Muss,,Muss,Muss,,,,,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0420,88,SEQ,M,M,1,1,2,Zähleinrichtungsdaten,SEQ+Z03,,,,,,,,PROZESSLOGIK,X,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,X,X,,X,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0430,89,RFF,C,D,9,1,3,Referenz auf die ID einer Messlokation,RFF+Z19:DE0000000000000000000000000000000,Messlokation,,S,zaehler,messlokationsId,,,PROZESSLOGIK,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,X,X,,X,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Zähleinrichtung,,,,,,,,,,X,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,Muss,Muss,,,,,,,,,,,,,,,,Muss,Muss,Muss,,Muss,Muss,Muss,,,,,,,,,,,,,,,Muss,Muss,,Muss,Muss,,Muss,Muss,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,90,CCI,M,M,1,1,3,Zählertyp,CCI+++E13,Zählertyp,,,,,,,PROZESSLOGIK,X,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,X,X,,X,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,91,CAV,C,D,99,1,4,Zählertyp,"CAV+BGZ
CAV+DKZ
CAV+EHZ
CAV+IVA
CAV+NMG
CAV+TRZ
CAV+UGZ
CAV+WGZ","Balgengaszähler
Drehkolbengaszähler
elektionischer Haushaltszähler
Individuelle Abstimmung (Sonderausstattung)
neue Messeinrichtung Gas nach MsbG
Turbinenradgaszähler
Ultraschallgaszähler
Wirbelgaszähler",,S,zaehler,"zaehlertyp
zaehlertypSpezifikation","AHZ = ""DREHSTROMZAEHLER""
WSZ = ""WECHSELSTROMZAEHLER""
LAZ = ""LEISTUNGSZAEHLER""
MAZ = ""MAXIMUMZAEHLER""
MME = ""MODERNEMESSEINRICHTUNG""
NMG = ?
DKZ = ""DREHKOLBENZAEHLER""
BGZ = ""BALGENGASZAEHLER""
TRZ = ""TURBINENRADGASZAEHLER""
UGZ = ""ULTRASCHALLGASZAEHLER""
WGZ = ""WIRBELGASZAEHLER""
EHZ = ""ELEKTRONISCHERHAUSHALTSZAEHLER""
IVA = ""SONDERAUSSTATTUNG""
Z01 = ""EDL40""
Z02 = ""EDL21""
Z03 = ""SONSTIGER_EHZ""
Z04 = ""MME_STANDARD""
Z05 = ""MME_MEDA""","macoDevices.macoDeviceCapabilities.type
DEVICE_MACO_DATA",METER_DATA,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,92,CAV,C,D,99,1,4,Zählergröße,"CAV+:::G10
CAV+:::G100
CAV+:::G1000
CAV+:::G10000
CAV+:::G12500
CAV+:::G16
CAV+:::G160
CAV+:::G1600
CAV+:::G16000
CAV+:::G2.5
CAV+:::G25
CAV+:::G250
CAV+:::G2500
CAV+:::G350
CAV+:::G4
CAV+:::G40
CAV+:::G400
CAV+:::G4000
CAV+:::G6
CAV+:::G65
CAV+:::G650
CAV+:::G6500","Gaszähler G10
Gaszähler G100
Gaszähler G1000
Gaszähler G10000
Gaszähler G12500
Gaszähler G16
Gaszähler G160
Gaszähler G1600
Gaszähler G16000
Gaszähler G2.5
Gaszähler G25
Gaszähler G250
Gaszähler G2500
Gaszähler G350
Gaszähler G4
Gaszähler G40
Gaszähler G400
Gaszähler G4000
Gaszähler G6
Gaszähler G65
Gaszähler G650
Gaszähler G6500",,S,zaehler,zaehlergroesse (ENUM),"G10 =""GAS_G10""
G100 =""GAS_G100""
G1000 =""GAS_G1000""
G10000 =""GAS_10000""
G12500 =""GAS_12500""
G16 =""GAS_G16""
G160 =GAS_G160""
G1600 =""GAS_G1600""
G16000 =""GAS_G16000""
G2.5 = ""GAS_G2P5""
G25 =""GAS_G25""
G250 =""GAS_G250""
G2500 =""GAS_G2500""
G350 =""GAS_G350""
G4 =""GAS_G4""
G40 =""GAS_G40""
G400 =""GAS_G400""
G4000 =""GAS_G4000""
G6 =""GAS_G6""
G65 =""GAS_G65""
G650 =""GAS_G650""
G6500 =""GAS_G6500""","macoDevices.macoDeviceCapabilities.deviceMeterSize
DEVICE_MACO_DATA",METER_DATA,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,,X,,X,X,X,,,,,,,,,,,,,,,,,,,G,,G,G,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,93,CAV,C,R,99,1,4,Identifikation / Nummer des Gerätes,CAV+Z30:::XXXXXXXXXX,Gerätenummer,,S,zaehler,zaehlernummer,,macoDevices.serialNumber,METER_DATA,X,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,X,X,,X,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,94,CAV,C,D,99,1,4,Art der Volumenerfassung,CAV+ZC0:::Z16,Hochfrequenzsonde,,S,zaehler,volumenerfassung,Z16 = HOCHFREQUENZSONDE,"macoDevices.macoDeviceCapabilities.gasVolumeDeterminationType
DEVICE_MACO_DATA",METER_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,,S,S,,,,,,,,,,,,,,,,,,,G,,G,G,,,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Befestigungsart Zähleinrichtung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,Muss,Muss,,,,,,,,,,,,,,,,,,,Muss,,Muss,Muss,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,95,CCI,M,M,1,1,3,Befestigungsart Zähleinrichtung,CCI+++Z28,Befestigungsart Zähleinrichtung,,,,,,,PROZESSLOGIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,96,CAV,C,R,99,1,4,Befestigungsart Zähleinrichtung,"CAV+Z31
CAV+Z32","Einstutzen-Zähler
Zweistutzen-Zähler",,S,zaehler,befestigungsart,"BKE =""STECKTECHNIK""
DPA =""DREIPUNKT""
HUT =""HUTSCHIENE""
Z31 = ""EINSTUTZEN""
Z32 = ""ZWEISTUTZEN""","macoDevices.mountType
DEVICE_MACO_DATA",METER_DATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Messwerterfassung an der Zähleinrichtung,,,,,,,,,,,Muss,,,,,,,,,,,Muss,Muss,,,,,,,,Muss,,,,,,,,,Muss,,,,,,,,,,,,,,,,,Muss,Muss,Muss,,Muss,Muss,Muss,,,,,,,,,,,,,,,,,,,Muss,,Muss,Muss,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,97,CCI,M,M,1,1,3,Messwerterfassung an der Zähleinrichtung,CCI+++E12,Messwerterfassung an der Zähleinrichtung,,,,,,,PROZESSLOGIK,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0520,98,CAV,C,R,99,1,4,Messwerterfassung an der Zähleinrichtung,"CAV+AMR
CAV+MMR","fernauslesbarere Zähler
manuell ausgelesene Zähler",,S,zaehler,messwerterfassung,"AMR = ""FERNAUSLESBAR""
MMR = ""MANUELL_AUSGELESENE""","macoDevices.macoDeviceCapabilities.meterLoggingMethod
DEVICE_MACO_DATA",METER_DATA,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,X,,,,,,,,,,,,,,,,,X,X,X,,X,X,X,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0410,,SG8,C,D,99999,99999,2,Messdatenregistriergerätedaten,,,,,,,,,,,Soll,,,,,,,,,,,Soll,Soll,,,,,,,,Soll,,,,,,,,,Soll,Soll,,,,,,,,,,,,,,,,Kann,,Soll,,Soll,Kann,Soll,,,,,,,,,,,,,,,,,,,Soll,,Soll,Soll,,,,,Soll,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0420,99,SEQ,M,M,1,1,2,Messdatenregistriergerätedaten,SEQ+Z50,Messdatenregistriergerätedaten,,,,,,,PROZESSLOGIK,,X,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,,X,,X,X,X,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0430,100,RFF,C,D,9,9,3,Referenz auf die ID der Messlokation,RFF+Z19:XXXXXXXXXXXXXXXXXXXXX,Messlokation,,S,zaehler,messlokationsId,,macoDevices.macoPod.meloDesignations.string,MDM_DATA,,,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0500,,SG10,C,D,99,1,3,Messdatenregistriergerät,,,,,,,,,,,X,,,,,,,,,,,Soll,Soll,,,,,,,,Muss,,,,,,,,,Muss,Muss,,,,,,,,,,,,,,,,Muss,,Muss,,Muss,Muss,Muss,,,,,,,,,,,,,,,,,,,Muss,,Muss,Muss,,,,,Muss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0510,101,CCI,M,M,1,1,3,Zählertyp,CCI+++E13,Zahlertyp,,,zaehler.geraete.geraeteeigenschaften,geraetetyp = MESSDATENREGISTRIERGERAET,,,,,,,,,,,,,,,,X,X,,,,,,,,X,,,,,,,,,X,X,,,,,,,,,,,,,,,,X,,X,,X,X,X,,,,,,,,,,,,,,,,,,,X,,X,X,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
