Nummer,Nr.,Typ,,,Max. Wdh,,,,,,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,31001,31002,31003,31009,31004,31005,31006,31007,31008,31010,31011,,,,,,,,,,,,
1100,34,LIN,M,M,1,1,1,Positionsdaten,"LIN+1++9900010000011:Z01
LIN+1++1-01-1-001:Z09","Artikelnummer
Artikel-ID",S,rechnung.rechnungspositionen,"positionsnummer
artikelnummer (Z01 -> ENUM BDEWArtikelnummer)
artikelnummer (Z09 -> 1:1)","9990001000053 -> LEISTUNG
9990001000079 -> LEISTUNG_PAUSCHAL
9990001000087 -> GRUNDPREIS
9990001000128 -> REGELENERGIE_ARBEIT
9990001000136 -> REGELENERGIE_LEISTUNG
9990001000144 -> NOTSTROMLIEFERUNG_ARBEIT
9990001000152 -> NOTSTROMLIEFERUNG_LEISTUNG
9990001000160 -> RESERVENETZKAPAZITAET
9990001000178 -> RESERVELEISTUNG
9990001000186 -> ZUSAETZLICHE_ABLESUNG
9990001000219 -> PRUEFGEBUEHREN_AUSSERPLANMAESSIG
9990001000269 -> WIRKARBEIT
9990001000285 -> SINGULAER_GENUTZTE_BETRIEBSMITTEL
9990001000334 -> ABGABE_KWKG
9990001000376 -> ABSCHLAG
9990001000417 -> KONZESSIONSABGABE
9990001000433 -> ENTGELT_FERNAUSLESUNG
9990001000475 -> UNTERMESSUNG
9990001000508 -> BLINDMEHRARBEIT
9990001000532 -> ENTGELT_ABRECHNUNG
9990001000540 -> SPERRKOSTEN
9990001000558 -> ENTSPERRKOSTEN
9990001000566 -> MAHNKOSTEN
9990001000574 -> MEHR_MINDERMENGEN
9990001000582 -> INKASSOKOSTEN
9990001000590 -> BLINDMEHRLEISTUNG
9990001000615 -> ENTGELT_MESSUNG_ABLESUNG
9990001000623 -> ENTGELT_EINBAU_BETRIEB_WARTUNG_MESSTECHNIK
9990001000631 -> AUSGLEICHSENERGIE
9990001000805 -> AUSGLEICHSENERGIE_UNTERDECKUNG
9990001000649 -> ZAEHLEINRICHTUNG
9990001000657 -> WANDLER_MENGENUMWERTER
9990001000665 -> KOMMUNIKATIONSEINRICHTUNG
9990001000673 -> TECHNISCHE_STEUEREINRICHTUNG
9990001000681 -> PARAGRAF_19_STROM_NEV_UMLAGE
9990001000699 -> BEFESTIGUNGSEINRICHTUNG
9990001000706 -> OFFSHORE_HAFTUNGSUMLAGE
9990001000714 -> FIXE_ARBEITSENTGELTKOMPONENTE
9990001000722 -> FIXE_LEISTUNGSENTGELTKOMPONENTE
9990001000730 -> UMLAGE_ABSCHALTBARE_LASTEN
9990001000748 -> MEHRMENGE
9990001000756 -> MINDERMENGE
9990001000764 -> ENERGIESTEUER
9990001000772 -> SMARTMETER_GATEWAY
9990001000780 -> STEUERBOX
9990001000798 -> MSB_INKL_MESSUNG
9990001000813 -> ZUSATZDIENSTLEISTUNG_PARAGRAPH_35_2_1_MSBG
9990001000821 -> ZUSATZDIENSTLEISTUNG_PARAGRAPH_35_2_2_MSBG
9990001000839 -> ZUSATZDIENSTLEISTUNG_PARAGRAPH_35_2_3_MSBG
9990001000847 -> ZUSATZDIENSTLEISTUNG_PARAGRAPH_35_2_4_MSBG
9990001000855 -> ZUSATZDIENSTLEISTUNG_PARAGRAPH_35_2_5_MSBG
9990001000863 -> ZUSATZDIENSTLEISTUNG_PARAGRAPH_35_3_MSBG
9990001000871 -> ENTGELT_KAPAZITAETEN",,,"X
","X
X","X
","X
",,"X
","X
","X
","X
","X
","
X",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1150,35,QTY,C,D,5,1,2,energetische Mengenangaben,QTY+47:40:KWH,Berechnete (fakturierte) Menge,S,rechnung.rechnungspositionen.positionsMenge,"wert
einheit (-> ENUM Mengeneinheit)",,,,H87,X,H87,H87,,KWH,KWH,KWH,KWH,,K3 / H87,,,,,,,,,,,,
1150,36,QTY,C,D,5,1,2,zeitliche Mengenangaben,QTY+136:31:DAY,Erreichte Menge in dem Zeitintervall,S,rechnung.rechnungspositionen.zeitbezogeneMenge,"wert
einheit (-> ENUM Mengeneinheit)",,,,,S,S,X,,,,,,,,,,,,,,,,,,,
1150,37,QTY,C,D,5,1,2,Korrekturfaktor,QTY+Z17:-1,Korrekturfaktor,S,rechnung.rechnungspositionen,korrekturfaktor,,,,,,,,,X,,,,,,,,,,,,,,,,,
1180,38,DTM,C,D,35,1,2,Positionsbezogener Abrechnungszeitraum Beginn,DTM+155:CCYYMMDDHHMMZZZ:303,Abrechnungszeitraum Beginn,S,rechnung.rechnungspositionen,lieferungVon,,,,X,X,X,X,,X,X,X,X,,X,,,,,,,,,,,,
1180,39,DTM,C,D,35,1,2,Positionsbezogener Abrechnungszeitraum Ende,DTM+156:CCYYMMDDHHMMZZZ:303,Abrechnungszeitraum Ende,S,rechnung.rechnungspositionen,lieferungBis,,,,X,X,X,X,,X,X,X,X,,X,,,,,,,,,,,,
1180,40,DTM,C,D,35,1,2,Ausführungsdatum/ -zeit,"DTM+203:CCYYMMDDHHMMZZZ:303
DTM+203:CCYYMMDD:102",Ausführungsdatum/-zeit,S,rechnung.rechnungspositionen,ausfuehrungsdatum,,,,,,X,,,,,,,X,"
X",,,,,,,,,,,,
1250,,SG27,C,R,99,1,2,Positionsnettobetrag,,,,,,,,,Muss,Muss,Muss,Muss,,Muss,Muss,Muss,Muss,,Muss,,,,,,,,,,,,
