Nummer,,Typ,,,Max. Wdh,,,,,,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,25001,25003,25002,25004,25005,25006,25007,25008,25009
0480,54,CCI,M,M,1,1,3,Schwachlastfähigkeit,"CCI+Z10++Z59
CCI+Z10++Z60","Nicht-Schwachlast fähig
Schwachlastfähig",S,zaehlzeitdefinition.zaehlzeitregister,schwachlastfaehig,"Z59 -> NICHT_SCHWACHLASTFAEHIG
Z60 -> SCHWACHLASTFAEHIG",,,,,,X,,,,,
0400,,SG8,C,D,99999,99999,2,Schaltzeitdefinition,,,,,,,,,,,,,Muss,,,,
0410,55,SEQ,M,M,1,1,2,Schaltzeitdefinition,"SEQ+Z69
SEQ+Z73","Z69 Schaltzeitdefinition
Z73 Ausgerollte Schaltzeitdefinition",,,,,,,,,,,X,,,,
0420,56,DTM,C,D,9,1,3,Schaltzeitänderungszeitpunkt,DTM+Z44:202110070605?+00:303',Z44 Schaltzeitänderungszeitpunkt,S,schaltzeitdefinition.schaltzeiten,"aenderungszeitpunkt 

haeufigkeit
","

EINMALIG bei 401
JAEHRLICH bei 303",,,,,,,,,,,
0470,,SG9,C,D,99,1,3,Schaltzeitdefinition,,,,,,,,,,,,Muss,,,,,
0480,57,CCI,M,M,1,1,3,Code der Schaltzeitdefinition,CCI+Z52++EDF,Z52 Code der Schaltzeitdefinition,S,schaltzeitdefinition.schaltzeiten,code,,,,,,,X,,,,,
0490,58,CAV,C,R,99,1,4,Häufigkeit der Übermittlung,"CAV+ZE0:::Z33
CAV+ZE0:::Z34","Z33 einmalig zu übermittelnde ausgerollte Definition
Z34 jährlich zu übermittelnde ausgerollte Definition",S,schaltzeitdefinition.schaltzeiten,haeufigkeit,"Z33 -> EINMALIG
Z34 -> JAEHRLICH",,,,,,X,,,,,
0490,59,CAV,C,R,99,1,4,Übermittelbarkeit der ausgerollten Schaltzeitdefinition,"CAV+ZD5:::Z23
CAV+ZD5:::Z24","Z23 elektronisch übermittelbar
Z24 elektronisch nicht übermittelbar",S,schaltzeitdefinition.schaltzeiten,uebermittelbarkeit,"Z23 -> ELEKTRONISCH
Z24 -> NICHT_ELEKTRONISCH",,,,,,X,,,,,
0470,,SG9,C,D,99,1,3,Schalthandlung an der Lokation,,,,,,,,,,,,Muss,,,,,
0480,60,CCI,M,M,1,1,3,Schalthandlung an der Lokation,"CCI+Z58++ZF4
CCI+Z58++ZF5","ZF4 Leistung an der Lokation an
ZF5 Leistung an der Lokation aus",S,schaltzeitdefinition.schaltzeiten,schalthandlung,"ZF4 -> LEISTUNG_AN
ZF5 -> LEISTUNG_AUS",,,,,,X,,,,,
0400,,SG8,C,D,99999,99999,2,Leistungskurvendefinition,,,,,,,,,,,,,Muss,,,,
0410,61,SEQ,M,M,1,1,2,Leistungskurvendefinition,"SEQ+Z70
SEQ+Z74","Z70 Leistungskurvendefinition
Z74 Ausgerollte Leistungskurvendefinition",,,,,,,,,,,X,,,,
0420,62,DTM,C,D,9,1,3,Leistungskurvenänderungszeitpunkt,DTM+Z45:202110070605?+00:303',Z45 Leistungskurvenänderungszeitpunkt,S,leistungskurvendefinition.leistungskurven,"aenderungszeitpunkt 

haeufigkeit
","

EINMALIG bei 401
JAEHRLICH bei 303",,,,,,,,,,,
0470,,SG9,C,D,99,1,3,Leistungskurvendefinition,,,,,,,,,,,,Muss,,,,,
0480,63,CCI,M,M,1,1,3,Code der Leistungskurvendefinition,CCI+Z53++ES1',Z53 Code der Leistungskurvendefinition,S,leistungskurvendefinition.leistungskurven,code,,,,,,,X,,,,,
0490,64,CAV,C,R,99,1,4,Häufigkeit der Übermittlung,"CAV+ZE0:::Z33
CAV+ZE0:::Z34","Z33 einmalig zu übermittelnde ausgerollte Definition
Z34 jährlich zu übermittelnde ausgerollte Definition",S,leistungskurvendefinition.leistungskurven,haeufigkeit,"Z33 -> EINMALIG
Z34 -> JAEHRLICH",,,,,,X,,,,,
0490,65,CAV,C,R,99,1,4,Übermittelbarkeit der ausgerollten Leistungskurvendefinition,"CAV+ZD5:::Z23
CAV+ZD5:::Z24","Z23 elektronisch übermittelbar
Z24 elektronisch nicht übermittelbar",S,leistungskurvendefinition.leistungskurven,uebermittelbarkeit,"Z23 -> ELEKTRONISCH
Z24 -> NICHT_ELEKTRONISCH",,,,,,X,,,,,
0530,,SG11,C,D,99999,1,3,oberer Schwellwert,,,,,,,,,,,,Muss,,,,,
0540,66,QTY,M,M,1,1,3,oberer Schwellwert,QTY+Z40:70.00:P1',Z40 oberer Schwellwert,S,leistungskurvendefinition.leistungskurven,schwellwert.obererSchwellwert,,,,,,,,,,,,
0640,67,UNT,M,M,1,1,0,Nachrichten-Endesegment,UNT+51+1,,,,,,,,X,X,X,X,X,,,,
