Nummer,Nr.,Typ,,,Max. Wdh,,,,,,stamm- oder transaktionsdaten,BO Objekt,BO4E - Feld,Mapping EDI <-> BO4E,powercloud - Variable,Schnittstelle,15001,15002,15003,15004,,,,,,,,,
1250,39,CAV,C,R,10,1,3,Technische Steuereinrichtung,CAV+RSU,"RSU Rundsteuerempfänger
TSU Tarifschaltuhr",S,zaehler.geraete.geraeteeigenschaften,"
geraetemerkmal (ENUM)
","RSU = RUNDSTEUEREMPFAENGER
TSU = TARIFSCHALTGERAET",,,x,,,,,,,,,,,,
1230,,SG28,C,D,999,1,2,Smartmeter-Gateway,,,,,,,,,,,,,,,,,,,,,
1240,40,CCI,M,M,1,1,2,Smartmeter-Gateway,CCI+++Z75,Z75 Smartmeter-Gateway,S,zaehler.geraete.geraeteeigenschaften,geraetetyp = SMARTMETERGATEWAY,,,,x,,,,,,,,,,,,
1230,,SG28,C,D,999,1,2,Steuerbox,,,,,,,,,,,,,,,,,,,,,
1240,41,CCI,M,M,1,1,2,Steuerbox,CCI+++Z76,Z76 Steuerbox,S,zaehler.geraete.geraeteeigenschaften,geraetetyp = STEUERBOX,,,,x,,,,,,,,,,,,
1230,,SG28,C,D,999,1,2,Befestigungsart,,,,,,,,,,,,,,,,,,,,,
1240,42,CCI,M,M,1,1,2,Befestigungsart,CCI+++Z28,Z28 Befestigungsart Zähleinrichtung,,,,,,,x,,,,,,,,,,,,
1250,43,CAV,C,R,10,1,3,Befestigungsart,CAV+DPA,"bei Strom:
BKE Stecktechnik (Befestigungs- und Kontaktierungseinrichtung)
DPA 3-Dreipunktaufhängung
HUT Hutschiene
bei Gas:
Z31 Einstutzen-Zähler
Z32 Zweistutzen-Zähler",S,zaehler,befestigungsart,"BKE -> STECKTECHNIK
DPA -> DREIPUNKT
HUT -> HUTSCHIENE
Z31 -> EINSTUTZEN
Z32 -> ZWEISTUTZEN",,,x,,,,,,,,,,,,
1230,,SG28,C,D,999,1,2,Messwerterfassung,,,,,,,,,,,,,,,,,,,,,
1240,44,CCI,M,M,1,1,2,Messwerterfassung,CCI+++E12,E12 Messwerterfassung an der Zähleinrichtung,,,,,,,x,,,,,,,,,,,,
1250,45,CAV,C,R,10,1,3,Messwerterfassung,CAV+AMR,"AMR fernauslesbare Zähler
MMR manuell ausgelesene Zähler",S,zaehler,messwerterfassung,"AMR -> FERNAUSLESBAR
MMR -> MANUELL_AUSGELESENE",,,x,,,,,,,,,,,,
1360,,SG31,C,D,99,2,2,Preisangabe zur Position,,,,,,,,,,,,,,,,,,,,,
1370,46,PRI,M,M,1,1,2,Preisangaben,PRI+CAL:5.1234:::1:H87,"CAL Berechnungspreis

H87 Stück
DAY Tag",S,angebot.positionsdaten.positionspreis[],"wert
menge
bezugswert
","DAY = TAG
H87 = STUECK",,,x,,,,,,,,,,,,
1420,,SG32,C,D,9999,9999,2,Gerätenummer,,,,,,,,,,,,,,,,,,,,,
1430,47,RFF,M,M,1,1,2,Gerätenummer,RFF+Z09:8465929523,Z09 Gerätenummer,S,zaehler,"artikelnummer = ZAEHLEINRICHTUNG:

zaehlernummer

ansonsten:

geraeteeigenschaften.geraetetyp = je nach artikelnummer
geraete.geraetenummer

weitere RFF+Z09 auf geraete.weitereGeraetenummern","artikelnummer ENUM -> geraetetyp:

WANDLER_MENGENUMWERTER -> WANDLER (bei STROM)
WANDLER_MENGENUMWERTER -> MENGENUMWERTER (bei GAS)
KOMMUNIKATIONSEINRICHTUNG -> KOMMUNIKATIONSEINRICHTUNG
TECHNISCHE_STEUEREINRICHTUNG -> TECHNISCHESTEUEREINRICHTUNG
BEFESTIGUNGSEINRICHTUNG -> BEFESTIGUNGSEINRICHTUNG
SMARTMETER_GATEWAY -> SMARTMETERGATEWAY
STEUERBOX -> STEUERBOX

",,,Soll,,,,,,,,,,,,
1420,,SG32,C,D,9999,9999,2,Referenz auf ID weiterer Marktlokationen,,,,,,,,,,,,,,,,,,,,,
1430,48,RFF,M,M,1,1,2,Referenz auf ID weiterer Marktlokationen,RFF+Z18:57685676748',Z18 Marktlokation,S,angebot.positionsdaten,referenzMarktlokationsIds[],,,,,x,,,,,,,,,,,
1420,,SG32,C,D,9999,9999,2,Referenz auf veröffentlichte Preiseliste,,,,,,,,,,,,,,,,,,,,,
1430,49,RFF,M,M,1,1,2,Referenz auf einen veröffentlichten Preiskatalog,RFF+APF:X:X:X,APF Verweis auf Katalognummer,S,angebot.positionsdaten.verweisKatalognummer,"katalognummer
zeilennummer
versionsnummer",,,,Kann,,,,,,,,,,,,
1840,,SG42,C,D,999,1,2,Beteiligter Marktpartner MP-ID,,,,,,,,,,,,,,,,,,,,,
1850,50,NAD,M,M,1,1,2,Beteiligter Marktpartner MP-ID,NAD+VY+9900259000002::293,"9 GS1
293 DE, BDEW
332 DE, DVGW",S,angebot.positionsdaten.beteiligterMarktpartner,"rollencodenummer
rollencodetyp","9 = GLN
293 = BDEW
332 = DVGW",,,Soll,,,,,,,,,,,,
1060,,SG27,M,D,200000,1,1,Erforderliches Produkt Schaltzeitdefinitionen,,,,,,,,,,,,,,,,,,,,,
1070,51,LIN,M,M,1,1,1,Erforderliches Produkt Schaltzeitdefinitionen,LIN+1+Z64,Z64 Erforderliches Produkt Schaltzeitdefinitionen,S,angebot.positionsdaten,positionsbezeichnung,,,,,,,x,,,,,,,,,
1080,52,PIA,C,R,25,1,2,Erforderliches Produkt Schaltzeitdefinitionen,PIA+5+9991000000713:Z11,Z11 Produkt,S,schaltzeitdefinition.schaltzeiten,konfigurationsprodukt,,,,,,,x,,,,,,,,,
1080,53,PIA,C,R,25,3,2,Artikel-ID,PIA+Z02+9991000000713-01:Z09',Z09 Artikel-ID,S,angebot.positionsdaten,artikelId (Z09 -> 1:1),,,,,,,x,,,,,,,,,
1230,,SG28,C,R,999,1,2,Zugeordnete Schaltzeitdefinition,,,,,,,,,,,,,,,,,,,,,
1240,54,CCI,M,M,1,1,2,Zugeordnete Schaltzeitdefinition,CCI+Z52++NBW,Z52 Code der Schaltzeitdefinition,S,schaltzeitdefinition.schaltzeiten,code,,,,,,,x,,,,,,,,,
1060,,SG27,M,D,200000,1,1,Erforderliches Produkt Leistungskurvendefinitionen,,,,,,,,,,,,,,,,,,,,,
1070,55,LIN,M,M,1,1,1,Erforderliches Produkt Leistungskurvendefinitionen,LIN+1+Z65,Z65 Erforderliches Produkt Leistungskurvendefinitionen,S,angebot.positionsdaten,positionsbezeichnung,,,,,,,soll,,,,,,,,,
1080,56,PIA,C,R,25,1,2,Erforderliches Produkt Leistungskurvendefinitionen,PIA+5+9991000000721:Z11,Z11 Produkt,,leistungskurvendefinition.leistungskurven,konfigurationsprodukt,,,,,,,x,,,,,,,,,
1080,57,PIA,C,R,25,3,2,Artikel-ID,PIA+Z02+9991000000721-01:Z09',Z09 Artikel-ID,S,angebot.positionsdaten,artikelId (Z09 -> 1:1),,,,,,,x,,,,,,,,,
1230,,SG28,C,R,999,1,2,Zugeordnete Leistungskurvendefinitionen,,,,,,,,,,,,,,,,,,,,,
1240,58,CCI,M,M,1,1,2,Zugeordnete Leistungskurvendefinitionen,CCI+Z53++NBF,Z53 Code der Leistungskurvendefinition,S,leistungskurvendefinition.leistungskurven,code,,,,,,,x,,,,,,,,,
1060,,SG27,M,D,200000,1,1,Erforderliches Produkt Ad-hoc-Steuerkanal,,,,,,,,,,,,,,,,,,,,,
