0090,,SG1,C,R,9999,1,1,Prüfidentifikator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0100,22,RFF,M,M,1,1,1,Prüfidentifikator,"RFF+Z13:17001
RFF+Z13:17002
RFF+Z13:17003
RFF+Z13:17004
RFF+Z13:17005
RFF+Z13:17006
RFF+Z13:17007
RFF+Z13:17008
RFF+Z13:17009
RFF+Z13:1701
RFF+Z13:17101
RFF+Z13:17102
RFF+Z13:17103
RFF+Z13:17104
RFF+Z13:17110
RFF+Z13:17113
RFF+Z13:17114
RFF+Z13:17115
RFF+Z13:17116
RFF+Z13:17117
RFF+Z13:17118
RFF+Z13:17120
RFF+Z13:17121
RFF+Z13:17122
RFF+Z13:17123
RFF+Z13:17126
RFF+Z13:17128
RFF+Z13:17129
RFF+Z13:17130
RFF+Z13:17131
RFF+Z13:17132
RFF+Z13:17133
RFF+Z13:17134
RFF+Z13:17135
RFF+Z13:17201
RFF+Z13:17202
RFF+Z13:17203
RFF+Z13:17204
RFF+Z13:17205
RFF+Z13:17206
RFF+Z13:17207
RFF+Z13:17208
RFF+Z13:17209
RFF+Z13:17210
RFF+Z13:17211
RFF+Z13:17301","Bestellung Geräteübernahme
Weiterverpflichtung MSBA
Beauftragung zur Änderung der Messlokation
Anforderung Messwerte
Bestellung Rechnungsabwicklung MSB über LF
Beendigung Rechnungsabwicklung MSB über LF
Bestellung von Werten für ESA
Abbestellung von Werten für ESA
Anzeige Gerätewechselabsicht
Bestellung eines Angebots Änderung Technik
Anfrage Stammdaten Marktlokation
Anfrage Werte
Anfrage Brennwert und Zustandszahl
Anfrage vom MSB Gas
Anforderung Allokationsliste
Meldung einer Reklamation von Werten
Anforderung bilanzierte Menge
Sperrauftrag
Anfrage Sperrung
Entsperrauftrag
Bestellung Konfigurationsänderung
Bestellung Änderung Prognosegrundlage
Bestellung Änderung
Reklamation einer Definition
Bestellung Änderung Zählzeitdefinition
Anfrage Stammdaten Messlokation
Reklamation einer Konfiguration
Bestellung Beendigung einer Konfiguration
Bestellung Änderung einer Konfiguration
Bestellung eines Angebots einer Konfiguration
Anfrage Stammdaten
Bestellung Änderung Abrechnungsdaten
Einrichtung Konfiguration aufgrund Zuordnung LF von NB an MSB
Einrichtung Konfiguration aufgrund Zuordnung LF von MSB an MSB
Anforderung normierter Profile/Profilscharen
Anforderung Lieferantenclearingliste
Anforderung Bilanzkreiszuordnungsliste
Anforderung Clearingliste BAS
Anforderung Clearingliste DZR
Anforderung BIlanzierungsgebietsclearingliste
Ab-/Bestellung BK-SZR auf Aggregationsebene RZ
Anforderung Clearingliste ÜNB-DZR
Anforderung Ausfallarbeit
Anforderung Lieferantenausfallarbeitsclearingliste
Reklamation Profile bzw. Profilscharen
Anforderung Abo",T,,pruefidentifikator,,,,17101,17126,17127,17102,17103,17104,17110,17114,17115,17116,17117,17119,17120,17122,17123,17121,17118,17113,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0120,,SG2,C,R,99,1,1,MP-ID Absender,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0130,23,NAD,M,M,1,1,1,MP-ID Absender,"NAD+MS+9900259000002::9
NAD+MS+9900259000002::293
NAD+MS+9900259000002::332","GS1
DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)
DE, DVGW Service & Consult GmbH",T,absender,"rollencodenummer
rollencodetyp","9 = GLN
293 = BDEW
332 = DVGW",,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,
0220,,SG5,C,D,5,1,2,Kontaktinformationen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0230,24,CTA,M,M,1,1,2,Ansprechpartner,CTA+IC+:M Mustermann,Informationskontakt,T,absender.ansprechpartner,nachname,,,,Kann,Kann,Kann,Kann,Kann,x,Kann,Kann,x,x,x,Kann,Kann,Kann,Kann,Kann,x,Kann,,,,,,,,,,,,,,,,
,,,,,,,,,COM+XXXXXXXXXX:EM,,T,absender.ansprechpartner,bei EM = eMailAdresse,,,,,,,,,,,,,,,,,x,x,x,x,x,,,,,,,,,,,,,,,,
0240,25,COM,C,R,5,5,3,Kommunikationsverbindung,COM+XXXXXXXXXX:TE,Ansprechpartner Kommunikation  FX = Telefax ; TE = Telefon ; AJ = weiteres Telefon ; AL = Handy,T,absender.ansprechpartner,"bei other = rufnummer.rufnummertyp =""Mappingwert"" und rufnummer.rufnummer = value","FX = FAX_DURCHWAHL
TE = RUF_DURCHWAHL
AJ = RUF_ZENTRALE
AL = MOBIL_NUMMER",,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,
0120,,SG2,C,R,99,1,1,MP-ID Empfänger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
